Título,Preço,Tipo,Rua,Bairro,CEP,Latitude,Longitude,Tipo Vendedor,Quartos,Suítes,Área Útil (m2),Área Total (m2),Vagas,Taxa Condomínio,IPTU,Data Coleta,Education,Entertainment,Financial,Healthcare,Sustenance,Transportation,Others
Apartamento com piscina em Boa Viagem,390000,Residencial,Rua Jorge Couceiro da Costa Eiras,Boa Viagem,51021300,-8.1221009,-34.9054206,Imobiliária,3,1,66,66,1,2000,,2017-04-09 23:25:42.261689,,,,,,,
Apartamento  em Gracas,290000,Residencial,Rua Doze de Outubro,Gracas,52050320,-8.0431588,-34.8996836,Imobiliária,3,1,94,94,1,2000,,2017-04-09 23:25:42.415782,,,,,,,
Apartamento com piscina e churrasqueira em Boa Viagem,365000,Residencial,Rua Almirante Tamandaré,Boa Viagem,51030090,-8.1334473,-34.9079084,Imobiliária,3,1,70,,1,2000,,2017-04-09 23:25:42.452930,,,,,,,
Flat com piscina e frente para o mar em Boa Viagem,250000,Comercial,Rua Francisco da Cunha,Boa Viagem,51020041,-8.1138849,-34.8958389,Imobiliária,1,0,40,,1,2000,,2017-04-09 23:25:42.541497,,,,,,,
Apartamento com piscina e churrasqueira em Caxanga,289000,Residencial,Rua Vicente Zírpoli,Caxanga,50800230,-26.9225709,-49.0606445,Imobiliária,3,1,64,,1,2000,,2017-04-09 23:25:42.656101,,,,,,,
Flat com piscina e sauna em Boa Viagem,320000,Comercial,Rua dos Navegantes,Boa Viagem,51020010,-8.1318176,-34.9003913,Imobiliária,1,1,24,24,1,2000,,2017-04-09 23:25:42.966500,,,,,,,
Apartamento com piscina e churrasqueira em Madalena,660000,Residencial,Rua Demócrito de Souza Filho,Madalena,50610120,-8.0556147,-34.9057039,Imobiliária,3,1,86,,2,2000,200,2017-04-09 23:25:43.051909,,,,,,,
Apartamento com piscina e churrasqueira em Setubal,270000,Residencial,Rua Izabel Magalhaes,Setubal,51030330,-8.138455,-34.9067685,Imobiliária,1,1,29,29,1,2000,38,2017-04-09 23:25:43.061554,,,,,,,
Apartamento com piscina e sauna em Boa Vista,255000,Residencial,Rua Dom Bosco,Boa Vista,50070070,-8.0473677,-34.8768005,Imobiliária,1,1,38,,1,2000,,2017-04-09 23:25:43.100776,,,,,,,
Apartamento  em Boa Vista,200000,Residencial,,Boa Vista,50070330,,,Imobiliária,2,0,90,90,0,2000,,2017-04-09 23:25:43.109917,,,,,,,
Apartamento com sauna e playground em Rosarinho,640000,Residencial,Rua Caio Pereira,Rosarinho,52041010,-8.0346538,-34.8976283,Imobiliária,3,1,102,102,2,2000,,2017-04-09 23:25:43.137999,,,,,,,
Apartamento com salão de festas em Madalena,370000,Residencial,Avenida Beira Rio,Madalena,50610100,-8.0519075,-34.9050821,Imobiliária,2,1,62,62,1,2000,,2017-04-09 23:25:43.372527,,,,,,,
