Titulo,Preço,Tipo,Rua,Bairro,CEP,Latitude,Longitude,Tipo Vendedor,Quartos,Suítes,Área Útil (m2),Area Total (m2),Vagas,Taxa Condomínio,IPTU,Data Coleta,Education,Entertainment,Financial,Healthcare,Sustenance,Transportation,Others
Apartamento com piscina e churrasqueira em Boa Viagem,380000,Residencial,Rua General Americano Freire,Boa Viagem,51021120,-8.1272584,-34.9060626,Imobiliária,3,1,60,60,1,500,,2017-04-08 22:44:03.491771,1.695624908745117,2.328855258301935,0.6372521539121425,0.3968310544345169,6.434632134757355,25.279613411072095,2.6139445507406895
Apartamento com piscina e churrasqueira em Campo Grande,368782.13,Residencial,Rua Voluntários da Pátria,Campo Grande,52040150,-8.0307761796,-34.8829882937,Imobiliária,3,1,63,,1,,,2017-04-08 22:44:03.558239,0,0,0,0,0,27.30669092040101,0
Apartamento com piscina e churrasqueira em Rosarinho,405000,Residencial,Rua José Alexandre Caçador,Rosarinho,52041360,-8.030092,-34.8945104,Imobiliária,3,1,61,61,1,350,,2017-04-08 22:44:03.587675,0.8874331175347501,0.3177587116970102,0.6609321281368146,1.9938046905849425,1.992000097731867,25.8557417398555,0.4410321689592397
Apartamento com piscina e salão de festas em Madalena,420000,Residencial,Rua Demócrito de Souza Filho,Madalena,50610120,-8.0552043,-34.9056459,Imobiliária,3,1,72,72,1,650,,2017-04-08 22:44:03.676579,3.866095988093004,1.090415793471092,1.3045005998073183,4.574965975653688,11.102850007476215,35.70226536903713,1.2781100113748907
Apartamento com piscina e playground em Espinheiro,420000,Residencial,Rua do Espinheiro,Espinheiro,52020020,-8.0440221,-34.8938212,Imobiliária,3,1,72,,1,,,2017-04-08 22:44:03.780421,0.6917370169647321,0.5041825425402201,1.377501004964867,1.867925504054754,7.13358800770855,36.15227479452593,1.635513898760741
Apartamento com sauna e copa em Boa Viagem,492562,Residencial,Rua Maria Carolina,Boa Viagem,51020220,-8.11312,-34.899206,Imobiliária,1,1,53,53,1,450,,2017-04-08 22:44:04.380502,0.47063112591904294,0.4513557869877093,0.4088759938069368,0.7305757228830759,1.0469371992911913,17.897058147955086,0
Apartamento com piscina e churrasqueira em Casa Amarela,415000,Residencial,Rua Bento Loyola,Casa Amarela,52051340,-8.0275116,-34.9127129,Imobiliária,3,1,72,72,1,450,,2017-04-09 23:25:23.353508,0.4905303258008629,1.351423341362569,1.1234795602229204,2.835736458738264,5.244671786499946,37.376412391699304,0.009445709401559952
Apartamento com piscina e campo de futebol em Aflitos,630000,Residencial,,Aflitos,50000000,,,Imobiliária,3,1,106,,2,500,,2017-04-09 23:30:26.858069,0,0,0,0,0,0,0
Apartamento com piscina e churrasqueira em Sto Amaro,340000,Residencial,Rua Dois de Julho,Sto Amaro,50040180,-8.0505220463,-34.8760597709,Imobiliária,2,1,57,,1,,,2017-04-08 22:44:04.392170,0,0,0,0.053284453952877016,0.12370443095094663,24.629124131366957,0.5312415790490549
Apartamento com estacionamento visitantes e playground em Espinheiro,550000,Residencial,Rua Quarenta e Oito,Espinheiro,52020060,-8.0437482,-34.8912353,Imobiliária,3,1,105,105,2,740,,2017-04-08 22:44:04.418623,0.4863491694299393,0.1352584403363195,1.8179742627212276,1.9323308254506155,5.2419226364293845,32.517973366376985,1.150560124744645
Apartamento com salão de festas em Boa Viagem,380000,Residencial,Rua Charles Darwin,Boa Viagem,51021520,-8.0578381,-34.8828969,Imobiliária,2,1,66,,1,,,2017-04-08 22:44:04.973441,0.309342384640598,1.6576786666913548,0.007162204103499334,0,0.7968550707634304,78.30666279687068,2.739675023516903
Apartamento com piscina e churrasqueira em Rosarinho,380000,Residencial,Rua Couto Magalhães,Rosarinho,52051335,-26.9225709,-49.0606445,Imobiliária,2,1,62,,1,420,120,2017-04-08 22:44:04.991731,0,0,0,0,0,0,0
