Título,Preço,Tipo,Rua,Bairro,CEP,Latitude,Longitude,Tipo Vendedor,Quartos,Suítes,Área Útil (m2),Área Total (m2),Vagas,Condomínio,IPTU,Data Coleta,Educação,Entretenimento,Financeiro,Saúde,Alimentação,Transporte,Others
Apartamento com sauna e salão de festas em Casa Amarela,2600000,Residencial,Rua Antônio de Castro,Casa Amarela,52070080,-8.0274541,-34.9157633,Imobiliária,3,1,58,58,4,1600,,2017-04-09 23:30:26.118608,0.03349267923669231,1.0636354431067547,1.7148900136664276,2.34491198860127,4.246817624499397,41.563485481073855,
Apartamento com piscina e campo de futebol em Casa Amarela,2600000,Residencial,Rua Bento Loyola,Casa Amarela,52051340,-8.0268845,-34.9125251,Imobiliária,4,2,130,,4,1600,188,2017-04-09 23:30:26.545755,0.5412447291179223,1.3678837016146743,1.026401230419869,3.0109352326383054,4.876471078740057,37.77018676675256,
Apartamento com piscina e estacionamento visitantes em Tamarineira,2600000,Residencial,Rua Gomes Coutinho,Tamarineira,52051130,-8.0281027,-34.9051948,Imobiliária,3,1,59,59,4,1600,,2017-04-09 23:30:26.607352,1.1458483623952178,0.8095157215108376,0,2.306625970146946,1.7964751202445115,28.735494020667268,
Apartamento com quadra poliesportiva e salão de festas em Casa Forte,2600000,Residencial,Avenida Dezessete de Agosto,Casa Forte,52060590,-8.0286293,-34.9262317,Imobiliária,4,4,230,230,4,1600,,2017-04-09 23:30:26.655420,0.7340911187896373,0,0,0.08641479798298088,0.11213454460198068,26.003500565094708,
Apartamento com piscina e churrasqueira em Madalena,2600000,Residencial,Rua Menezes Drumond,Madalena,50610320,-8.0504458,-34.9101396,Imobiliária,3,1,65,,4,1600,,2017-04-09 23:30:26.665148,2.0375819339308316,1.0757351171155463,0.5596084075289893,2.9430430934871907,7.023768118913036,26.098993368218306,
Apartamento com churrasqueira e campo de futebol em Torre,2550000,Residencial,Rua Profa Angela Pinto,Torre,50710010,-8.0386227,-34.9083046,Pessoa Física,2,0,55,84,4,1600,367,2017-04-09 23:30:26.715275,1.2736045744571558,0,0.529464873003423,1.7638295716475103,2.158781184347403,20.627589542498363,
Casa com piscina e esquina em Cajueiro,2500000,Residencial,Rua Luiz Clericuzzi,Cajueiro,52221250,-8.0121058,-34.886072,Imobiliária,4,2,268,400,4,1600,,2017-04-09 23:30:27.200103,0,0,0,0,0,25.96059453759063,
Apartamento com piscina e churrasqueira em Boa Viagem,2500000,Residencial,Rua Le Park,Boa Viagem,51160035,-8.111251,-34.903549,Imobiliária,4,4,170,170,4,1600,,2017-04-09 23:30:27.267146,0.07106987689765572,0.1014616273557965,0.14079727006110454,0,0.13143492688070307,16.385780553813337,
Apartamento com piscina e churrasqueira em Parnamirim,2500000,Residencial,Rua Astronauta Neil Armstrong,Parnamirim,52060170,-8.0283657,-34.9091552,Imobiliária,4,4,315,,4,1591,,2017-04-09 23:30:27.352617,0.9981603402581476,1.1948828752696654,0.30654887169638745,2.554870004212715,4.588571224674057,30.454542703583307,
Apartamento com churrasqueira e copa em Arruda,2500000,Residencial,Avenida Beberibe,Arruda,52120000,-8.0244305,-34.8936597,Imobiliária,2,1,57,,4,1570,90,2017-04-09 23:30:27.379145,0.21858650460134949,0,0,0.058381055519273445,0.027558822338763434,26.63577882972231,
Apartamento com piscina e churrasqueira em Jd S Paulo,2500000,Residencial,Avenida Liberdade,Jd S Paulo,50920135,-8.086013,-34.9534099,Imobiliária,3,1,60,70,4,1570,,2017-04-09 23:30:27.593972,0,0,0,0,0,25.69021994338654,
Apartamento  em Poco da Panela,2500000,Residencial,Rua Guilherme Salazar,Poco da Panela,52061275,-8.038193,-34.9216825,Imobiliária,4,2,123,123,4,1570,,2017-04-09 23:30:27.735184,0,0,0.002801462548634845,0.08947016536316767,1.5615272755371719,13.768100927060887,
Apartamento com piscina e churrasqueira em Rosarinho,2500000,Residencial,Rua Doutor José Maria,Rosarinho,52041065,-8.0356317,-34.897586,Imobiliária,3,1,82,82,4,1550,,2017-04-09 23:30:28.021685,3.0576145318541856,0.9817352665754295,2.039174271428014,5.383313540303703,4.909584559429218,30.18580035377442,
Apartamento  em Espinheiro,2500000,Residencial,"Rua Espinheiro,Do",Espinheiro,52020020,-8.0462071,-34.8954507,Imobiliária,3,1,80,,4,1531,,2017-04-09 23:30:28.048420,1.0220165034811173,1.0887550647554949,0.1338392051619636,1.5345878980074716,7.75271046088535,37.28316724331279,
Apartamento  em Boa Viagem,2500000,Residencial,Rua Professor Augusto Lins e Silva,Boa Viagem,51030030,-8.145471,-34.9081685,Imobiliária,3,1,114,114,4,1519,,2017-04-09 23:30:28.118762,0.2054256750771874,0.8543279565569959,0,0,1.230574715930306,11.682100562328232,
Apartamento com salão de festas em Campo Grande,2500000,Residencial,Rua Voluntarios da Patria,Campo Grande,52040150,-8.0317144,-34.8827041,Imobiliária,3,1,109,,4,1500,,2017-04-09 23:30:28.220132,0,0,0,0,0,27.567218472249422,
